week_ending,ZIP,caseRate
2020-08-10,10001,7.24
2020-08-17,10001,14.49
2020-08-24,10001,14.49
2020-08-31,10001,7.24
2020-09-07,10001,32.59
2020-09-14,10001,43.46
2020-09-21,10001,25.35
2020-09-28,10001,10.86
2020-10-05,10001,28.97
2020-10-12,10001,39.84
2020-10-19,10001,32.59
2020-10-26,10001,50.7
2020-11-02,10001,36.21
2020-11-09,10001,105.02
2020-11-16,10001,202.8
2020-11-23,10001,170.21
2020-11-30,10001,133.99
2020-12-07,10001,246.26
2020-12-14,10001,191.94
2020-12-21,10001,271.61
2020-12-28,10001,188.32
2021-01-04,10001,210.05
2021-01-11,10001,445.44
2021-01-18,10001,282.47
2021-01-25,10001,329.55
2021-02-01,10001,289.72
2021-02-08,10001,286.1
2021-02-15,10001,260.75
2021-02-22,10001,170.21
2021-03-01,10001,231.77
2021-03-08,10001,228.15
2021-03-15,10001,246.26
2021-03-22,10001,373.01
2021-03-29,10001,296.96
2021-04-05,10001,296.96
2021-04-12,10001,210.05
2021-04-19,10001,152.1
2021-04-26,10001,97.78
2021-05-03,10001,94.16
2021-05-10,10001,76.05
2021-05-17,10001,54.32
2021-05-24,10001,61.57
2021-05-31,10001,21.73
2021-06-07,10001,28.97
2021-06-14,10001,18.11
2021-06-21,10001,32.59
2021-06-28,10001,21.73
2021-07-05,10001,28.97
2021-07-12,10001,94.16
2021-07-19,10001,108.64
2021-07-26,10001,191.94
2021-08-02,10001,162.97
2021-08-09,10001,217.29
2021-08-16,10001,220.91
2021-08-23,10001,162.97
2021-08-30,10001,235.4
2021-09-06,10001,181.07
2021-09-13,10001,188.32
2021-09-20,10001,184.7
2021-09-27,10001,108.64
2021-10-04,10001,144.86
2021-10-11,10001,112.27
2021-10-18,10001,90.54
2021-10-25,10001,61.57
2021-11-01,10001,0.0
2020-08-10,10002,39.83
2020-08-17,10002,10.62
2020-08-24,10002,21.24
2020-08-31,10002,10.62
2020-09-07,10002,7.97
2020-09-14,10002,6.64
2020-09-21,10002,22.57
2020-09-28,10002,25.22
2020-10-05,10002,18.59
2020-10-12,10002,35.85
2020-10-19,10002,30.54
2020-10-26,10002,50.45
2020-11-02,10002,55.76
2020-11-09,10002,79.66
2020-11-16,10002,138.07
2020-11-23,10002,138.07
2020-11-30,10002,160.64
2020-12-07,10002,233.66
2020-12-14,10002,381.03
2020-12-21,10002,371.73
2020-12-28,10002,347.84
2021-01-04,10002,351.82
2021-01-11,10002,513.79
2021-01-18,10002,407.58
2021-01-25,10002,465.99
2021-02-01,10002,370.41
2021-02-08,10002,310.66
2021-02-15,10002,321.28
2021-02-22,10002,330.58
2021-03-01,10002,338.54
2021-03-08,10002,343.85
2021-03-15,10002,359.79
2021-03-22,10002,338.54
2021-03-29,10002,357.13
2021-04-05,10002,309.34
2021-04-12,10002,257.56
2021-04-19,10002,223.04
2021-04-26,10002,119.49
2021-05-03,10002,114.18
2021-05-10,10002,66.38
2021-05-17,10002,30.54
2021-05-24,10002,18.59
2021-05-31,10002,15.93
2021-06-07,10002,17.26
2021-06-14,10002,13.28
2021-06-21,10002,5.31
2021-06-28,10002,6.64
2021-07-05,10002,19.91
2021-07-12,10002,42.48
2021-07-19,10002,57.09
2021-07-26,10002,107.54
2021-08-02,10002,143.38
2021-08-09,10002,171.26
2021-08-16,10002,134.09
2021-08-23,10002,123.47
2021-08-30,10002,156.66
2021-09-06,10002,120.81
2021-09-13,10002,123.47
2021-09-20,10002,144.71
2021-09-27,10002,80.98
2021-10-04,10002,75.67
2021-10-11,10002,111.52
2021-10-18,10002,114.18
2021-10-25,10002,91.61
2021-11-01,10002,2.66
2020-08-10,10003,7.41
2020-08-17,10003,7.41
2020-08-24,10003,18.53
2020-08-31,10003,20.38
2020-09-07,10003,20.38
2020-09-14,10003,53.73
2020-09-21,10003,62.99
2020-09-28,10003,57.43
2020-10-05,10003,50.02
2020-10-12,10003,29.64
2020-10-19,10003,70.4
2020-10-26,10003,53.73
2020-11-02,10003,64.84
2020-11-09,10003,59.28
2020-11-16,10003,146.36
2020-11-23,10003,179.7
2020-11-30,10003,133.39
2020-12-07,10003,163.03
2020-12-14,10003,183.41
2020-12-21,10003,201.93
2020-12-28,10003,166.74
2021-01-04,10003,179.7
2021-01-11,10003,281.6
2021-01-18,10003,300.12
2021-01-25,10003,274.19
2021-02-01,10003,298.27
2021-02-08,10003,231.58
2021-02-15,10003,222.31
2021-02-22,10003,231.58
2021-03-01,10003,253.81
2021-03-08,10003,261.22
2021-03-15,10003,214.9
2021-03-22,10003,274.19
2021-03-29,10003,359.41
2021-04-05,10003,261.22
2021-04-12,10003,203.79
2021-04-19,10003,172.29
2021-04-26,10003,98.19
2021-05-03,10003,57.43
2021-05-10,10003,77.81
2021-05-17,10003,27.79
2021-05-24,10003,22.23
2021-05-31,10003,9.26
2021-06-07,10003,12.97
2021-06-14,10003,1.85
