date_range_end,placekey,visitor
2021-11-01,222-222@627-s4k-cwk,"{'10025': 4, '10038': 4, '10467': 4, '10475': 4}"
2021-11-01,222-222@627-s4k-d7q,"{'10024': 4, '10025': 8, '10029': 4, '10030': 4, '10037': 4, '10128': 4, '10462': 4, '10473': 4, '11203': 4}"
2021-11-01,222-222@627-s4k-kzz,"{'10023': 4, '10024': 8, '10025': 4, '10469': 4}"
2021-11-01,222-222@627-s4k-nqz,"{'10003': 4, '10011': 8, '10012': 4, '10016': 4, '10017': 4, '10021': 15, '10022': 4, '10023': 4, '10024': 10, '10025': 17, '10026': 4, '10027': 4, '10028': 12, '10029': 4, '10065': 8, '10075': 4, '10128': 12, '10453': 4, '10458': 4, '10463': 4, '10464': 4, '10466': 4, '10475': 4, '11101': 4, '11375': 4, '11378': 4, '11416': 4, '11420': 4, '11435': 8}"
2021-11-01,222-222@627-s4k-p35,"{'10007': 7, '10010': 4, '10011': 4, '10013': 7, '10019': 4, '10021': 13, '10023': 8, '10024': 4, '10025': 8, '10028': 8, '10065': 4, '10075': 8, '10128': 4, '11378': 4}"
2021-11-01,222-222@627-s4k-psq,"{'10024': 13, '10025': 5, '10029': 4, '10036': 4, '10128': 4, '10309': 4, '10312': 4, '10314': 4, '10452': 12, '10453': 4, '11418': 4}"
2021-11-01,222-222@627-s4m-4jv,"{'10025': 14, '10026': 8, '10027': 4, '10031': 6}"
2021-11-01,222-222@627-s4m-575,"{'10025': 16, '10026': 9, '10027': 10, '10031': 4, '10039': 4, '11223': 4}"
2021-11-01,222-222@627-s4m-75z,"{'10025': 21, '10026': 4, '10027': 21, '10030': 4, '10035': 4, '11101': 4, '11104': 4, '11230': 4, '11369': 4, '11372': 4}"
2021-11-01,222-222@627-s4m-835,"{'10025': 14, '10026': 4, '10027': 4, '10031': 4, '10034': 4, '11207': 4, '11210': 4, '11230': 4}"
2021-11-01,222-222@627-s4m-9j9,"{'10016': 4, '10018': 4, '10021': 4, '10025': 23, '10035': 4, '10037': 4, '10065': 4, '10456': 9, '10457': 5, '10468': 4, '11223': 4, '11229': 4}"
2021-11-01,222-222@627-s4m-btv,"{'10021': 4, '10024': 4, '10025': 4, '10033': 6, '10040': 6, '10128': 4}"
2021-11-01,222-222@627-s4m-ckf,"{'10021': 4, '11101': 4, '11104': 4, '11220': 4}"
2021-11-01,222-222@627-s4m-ffz,"{'10027': 4, '10029': 4, '10030': 4, '10039': 4, '10451': 4, '10456': 4}"
2021-11-01,222-222@627-s4m-v4v,"{'10024': 8, '10025': 4, '10028': 5, '10029': 4, '10075': 5}"
2021-11-01,222-222@627-s4m-vzz,"{'10002': 4, '10022': 4, '10128': 4, '10460': 4, '10462': 4, '11208': 4}"
2021-11-01,222-222@627-s4m-wc5,"{'10011': 4, '10014': 4, '10028': 4, '10075': 4}"
2021-11-01,222-222@627-s4m-y7q,"{'10002': 4, '10021': 4, '10028': 4, '10075': 8, '11235': 4, '11432': 4}"
2021-11-01,222-222@627-s4n-2tv,"{'10021': 4, '10467': 4, '10469': 4, '11237': 4, '11377': 4, '11378': 4, '11385': 4}"
2021-11-01,222-222@627-s4n-4y9,"{'10024': 4, '10466': 4, '10470': 4, '11226': 4}"
2021-11-01,222-222@627-s4n-52k,"{'10021': 4, '10065': 4, '10473': 4}"
2021-11-01,222-222@627-s4n-5mk,"{'10021': 8, '10028': 5, '10075': 9, '10314': 5, '10458': 4, '11201': 4, '11358': 4, '11365': 4}"
2021-11-01,222-222@627-s4n-5pv,"{'11229': 4, '11235': 4, '11385': 4}"
